date,reportDate,estimatedEPS,actualEPS,percentDif,symbol
2024-07-31,2024-08-28,2.36,2.3,-2.5424,CRM
2024-04-30,2024-05-29,2.38,2.44,2.521,CRM
2024-01-31,2024-02-28,2.26,2.29,1.3274,CRM
2023-10-31,2023-11-29,2.06,2.11,2.4272,CRM
2023-07-31,2023-08-30,1.9,2.12,11.5789,CRM
2023-04-30,2023-05-31,1.61,1.69,4.9689,CRM
2023-01-31,2023-03-01,1.36,1.68,23.5294,CRM
2022-10-31,2022-11-30,1.21,1.4,15.7025,CRM
2022-07-31,2022-08-24,1.02,1.19,16.6667,CRM
2022-04-30,2022-05-31,0.94,0.98,4.2553,CRM
2022-01-31,2022-03-01,0.74,0.84,13.5135,CRM
2021-10-31,2021-11-30,0.92,1.27,38.0435,CRM
2021-07-31,2021-08-25,0.92,1.48,60.8696,CRM
2021-04-30,2021-05-27,0.88,1.21,37.5,CRM
2021-01-31,2021-02-25,0.75,1.04,38.6667,CRM
2020-10-31,2020-12-01,0.75,1.74,132,CRM
2020-07-31,2020-08-25,0.67,1.44,114.9254,CRM
2020-04-30,2020-05-28,0.69,0.7,1.4493,CRM
2020-01-31,2020-02-25,0.56,0.66,17.8571,CRM
2019-10-31,2019-12-03,0.66,0.75,13.6364,CRM
2019-07-31,2019-08-22,0.47,0.66,40.4255,CRM
2019-04-30,2019-06-04,0.61,0.93,52.459,CRM
2019-01-31,2019-03-04,0.55,0.7,27.2727,CRM
2018-10-31,2018-11-27,0.5,0.61,22,CRM
2018-07-31,2018-08-29,0.47,0.53,12.766,CRM
2018-04-30,2018-05-29,0.46,0.74,60.8696,CRM
2018-01-31,2018-02-28,0.33,0.35,6.0606,CRM
2017-10-31,2017-11-21,0.37,0.39,5.4054,CRM
2017-07-31,2017-08-22,0.32,0.33,3.125,CRM
2017-04-30,2017-05-18,0.26,0.28,7.6923,CRM
2017-01-31,2017-02-28,0.25,0.28,12,CRM
2016-10-31,2016-11-17,0.21,0.24,14.2857,CRM
2016-07-31,2016-08-31,0.22,0.24,9.0909,CRM
2016-04-30,2016-05-18,0.23,0.24,4.3478,CRM
2016-01-31,2016-02-24,0.19,0.19,0,CRM
2015-10-31,2015-11-18,0.19,0.21,10.5263,CRM
2015-07-31,2015-08-20,0.17,0.19,11.7647,CRM
2015-04-30,2015-05-20,0.14,0.16,14.2857,CRM
2015-01-31,2015-02-25,0.14,0.14,0,CRM
2014-10-31,2014-11-19,0.13,0.14,7.6923,CRM
2014-07-31,2014-08-21,0.12,0.13,8.3333,CRM
2014-04-30,2014-05-20,0.1,0.11,10,CRM
2014-01-31,2014-02-27,0.06,0.07,16.6667,CRM
2013-10-31,2013-11-18,0.09,0.09,0,CRM
2013-07-31,2013-08-29,0.07,0.09,28.5714,CRM
2013-04-30,2013-05-23,0.1,0.1,0,CRM
2013-01-31,2013-02-28,0.1,0.13,30,CRM
2012-10-31,2012-11-20,0.08,0.08,0,CRM
2012-07-31,2012-08-23,0.1,0.11,10,CRM
2012-04-30,2012-05-17,0.09,0.09,0,CRM
2012-01-31,2012-02-23,0.1,0.11,10,CRM
2011-10-31,2011-11-17,0.08,0.09,12.5,CRM
2011-07-31,2011-08-18,0.07,0.08,14.2857,CRM
2011-04-30,2011-05-19,0.07,0.07,0,CRM
2011-01-31,2011-02-24,0.06,0.08,33.3333,CRM
2010-10-31,2010-11-18,0.08,0.08,0,CRM
2010-07-31,2010-08-19,0.07,0.07,0,CRM
2010-04-30,2010-05-20,0.08,0.08,0,CRM
2010-01-31,2010-02-24,0.04,0.04,0,CRM
2009-10-31,2009-11-17,0.04,0.04,0,CRM
2009-07-31,2009-08-20,0.04,0.04,0,CRM
2009-04-30,2009-05-21,0.03,0.04,33.3333,CRM
2009-01-31,2009-02-25,0.02,0.03,50,CRM
2008-10-31,2008-11-20,0.02,0.02,0,CRM
2008-07-31,2008-08-20,0.02,0.02,0,CRM
2008-04-30,2008-05-21,0.02,0.02,0,CRM
2008-01-31,2008-02-27,0.01,0.02,100,CRM
2007-10-31,2007-11-15,0.01,0.01,0,CRM
2007-07-31,2007-08-15,None,0.01,None,CRM
2007-04-30,2007-05-16,0.02,0.01,-50,CRM
2007-01-31,2007-02-21,0.02,0.02,0,CRM
2006-10-31,2006-11-15,0.01,0.02,100,CRM
2006-07-31,2006-08-16,0.01,0.02,100,CRM
2006-04-30,2006-05-17,0.01,0.01,0,CRM
2006-01-31,2006-02-22,0.01,0.01,0,CRM
2005-10-31,2005-11-16,0.01,0.01,0,CRM
2005-07-31,2005-08-17,0.01,0.01,0,CRM
2005-04-30,2005-05-18,0.01,0.01,0,CRM
2005-01-31,2005-02-17,None,0.01,None,CRM
2004-10-31,2004-11-17,None,0.0046,None,CRM
2004-07-31,2004-08-19,None,0.0027,None,CRM
