,date,open,high,low,close,volume,estimatedEPS,actualEPS,percentDif,totalRevenue,grossProfit
0,2013-04-18,41.17,41.91,40.76,41.03,1119200,0.1,0.13,30.0,834681000.0,651319000.0
1,2013-04-19,41.02,41.25,39.75,40.88,8713600,0.1,0.13,30.0,834681000.0,651319000.0
2,2013-04-22,41.06,41.17,40.13,40.32,4897800,0.1,0.13,30.0,834681000.0,651319000.0
3,2013-04-23,40.71,41.55,40.61,41.08,4115200,0.1,0.13,30.0,834681000.0,651319000.0
4,2013-04-24,41.02,41.53,40.87,40.91,2671100,0.1,0.13,30.0,834681000.0,651319000.0
5,2013-04-25,41.1,41.17,40.62,40.76,5148900,0.1,0.13,30.0,834681000.0,651319000.0
6,2013-04-26,40.84,41.1,40.635,40.71,2646100,0.1,0.13,30.0,834681000.0,651319000.0
7,2013-04-29,40.75,41.28,40.55,41.01,2651800,0.1,0.13,30.0,834681000.0,651319000.0
8,2013-04-30,41.05,41.24,40.71,41.11,3806600,0.1,0.13,30.0,834681000.0,651319000.0
9,2013-05-01,41.21,42.19,41.12,41.56,6423600,0.1,0.13,30.0,834681000.0,651319000.0
10,2013-05-02,41.77,42.1,41.5,41.87,3598400,0.1,0.13,30.0,834681000.0,651319000.0
11,2013-05-03,42.27,42.5,42.06,42.24,2897000,0.1,0.13,30.0,834681000.0,651319000.0
12,2013-05-06,42.33,42.839,42.3,42.44,4305700,0.1,0.13,30.0,834681000.0,651319000.0
13,2013-05-07,42.64,42.85,42.11,42.42,2803000,0.1,0.13,30.0,834681000.0,651319000.0
14,2013-05-08,42.43,42.59,42.2,42.37,3029900,0.1,0.13,30.0,834681000.0,651319000.0
15,2013-05-09,42.35,43.78,42.28,43.15,6062100,0.1,0.13,30.0,834681000.0,651319000.0
16,2013-05-10,43.21,44.25,43.21,44.17,4287000,0.1,0.13,30.0,834681000.0,651319000.0
17,2013-05-13,44.33,44.56,43.83,43.96,2945200,0.1,0.13,30.0,834681000.0,651319000.0
18,2013-05-14,44.05,45.04,44.01,44.98,4117200,0.1,0.13,30.0,834681000.0,651319000.0
19,2013-05-15,45.03,45.07,44.41,44.79,3099500,0.1,0.13,30.0,834681000.0,651319000.0
20,2013-05-16,45.39,47.31,45.29,46.15,7165000,0.1,0.13,30.0,834681000.0,651319000.0
21,2013-05-17,46.18,46.83,45.75,46.79,4787600,0.1,0.13,30.0,834681000.0,651319000.0
22,2013-05-20,47.14,47.58,46.82,47.01,6331700,0.1,0.13,30.0,834681000.0,651319000.0
23,2013-05-21,47.05,47.11,46.3,46.33,6112600,0.1,0.13,30.0,834681000.0,651319000.0
24,2013-05-22,46.43,47.218,45.53,45.78,6717200,0.1,0.13,30.0,834681000.0,651319000.0
25,2013-05-23,43.44,46.05,43.02,45.69,12218700,0.1,0.1,0.0,892633000.0,683639000.0
26,2013-05-24,42.75,43.82,41.8,43.25,21576800,0.1,0.1,0.0,892633000.0,683639000.0
27,2013-05-28,43.53,43.53,41.62,41.8,10067300,0.1,0.1,0.0,892633000.0,683639000.0
28,2013-05-29,41.18,42.36,40.85,41.93,8799500,0.1,0.1,0.0,892633000.0,683639000.0
29,2013-05-30,42.09,42.97,42.0,42.76,5557500,0.1,0.1,0.0,892633000.0,683639000.0
30,2013-05-31,42.52,43.06,42.08,42.33,5758500,0.1,0.1,0.0,892633000.0,683639000.0
31,2013-06-03,42.37,42.44,40.09,41.04,8969800,0.1,0.1,0.0,892633000.0,683639000.0
32,2013-06-04,39.25,40.19,37.57,37.8,29720600,0.1,0.1,0.0,892633000.0,683639000.0
33,2013-06-05,38.68,38.81,37.69,37.95,18556600,0.1,0.1,0.0,892633000.0,683639000.0
34,2013-06-06,37.87,38.4,37.1,38.06,10970900,0.1,0.1,0.0,892633000.0,683639000.0
35,2013-06-07,38.38,39.64,38.27,39.61,10146600,0.1,0.1,0.0,892633000.0,683639000.0
36,2013-06-10,39.95,39.97,38.52,38.68,10800800,0.1,0.1,0.0,892633000.0,683639000.0
37,2013-06-11,38.24,38.321,37.34,37.59,8942900,0.1,0.1,0.0,892633000.0,683639000.0
38,2013-06-12,38.12,38.51,37.29,37.58,7769100,0.1,0.1,0.0,892633000.0,683639000.0
39,2013-06-13,37.46,37.977,36.87,37.8,5839000,0.1,0.1,0.0,892633000.0,683639000.0
40,2013-06-14,37.79,38.72,37.5,37.56,4942800,0.1,0.1,0.0,892633000.0,683639000.0
