,date,open,high,low,close,volume,estimatedEPS,actualEPS,percentDif,totalRevenue,grossProfit
0,2008-08-12,0.283,0.284,0.273,0.277,35271700,0.003,0.003,0.0,892676000.0,149917000.0
1,2008-08-13,0.299,0.311,0.292,0.306,52381500,0.003,0.003,0.0,892676000.0,149917000.0
2,2008-08-14,0.304,0.337,0.304,0.325,40882600,0.003,0.003,0.0,892676000.0,149917000.0
3,2008-08-15,0.328,0.334,0.322,0.324,19441300,0.003,0.003,0.0,892676000.0,149917000.0
4,2008-08-18,0.326,0.334,0.323,0.33,22349200,0.003,0.003,0.0,892676000.0,149917000.0
5,2008-08-19,0.324,0.338,0.324,0.336,25353500,0.003,0.003,0.0,892676000.0,149917000.0
6,2008-08-20,0.34,0.353,0.338,0.352,28592300,0.003,0.003,0.0,892676000.0,149917000.0
7,2008-08-21,0.346,0.348,0.334,0.34,25539000,0.003,0.003,0.0,892676000.0,149917000.0
8,2008-08-22,0.343,0.347,0.333,0.34,11481600,0.003,0.003,0.0,892676000.0,149917000.0
9,2008-08-25,0.338,0.346,0.334,0.335,11790000,0.003,0.003,0.0,892676000.0,149917000.0
10,2008-08-26,0.337,0.337,0.324,0.327,15327800,0.003,0.003,0.0,892676000.0,149917000.0
11,2008-08-27,0.32,0.334,0.317,0.33,11365500,0.003,0.003,0.0,892676000.0,149917000.0
12,2008-08-28,0.33,0.334,0.325,0.328,9129800,0.003,0.003,0.0,892676000.0,149917000.0
13,2008-08-29,0.324,0.325,0.315,0.316,12900100,0.003,0.003,0.0,892676000.0,149917000.0
14,2008-09-02,0.321,0.324,0.304,0.308,17348200,0.003,0.003,0.0,892676000.0,149917000.0
15,2008-09-03,0.304,0.305,0.289,0.292,17871400,0.003,0.003,0.0,892676000.0,149917000.0
16,2008-09-04,0.288,0.291,0.286,0.288,17903200,0.003,0.003,0.0,892676000.0,149917000.0
17,2008-09-05,0.285,0.292,0.285,0.292,19777500,0.003,0.003,0.0,892676000.0,149917000.0
18,2008-09-08,0.294,0.294,0.275,0.28,32871000,0.003,0.003,0.0,892676000.0,149917000.0
19,2008-09-09,0.279,0.296,0.269,0.27,27457400,0.003,0.003,0.0,892676000.0,149917000.0
20,2008-09-10,0.273,0.279,0.269,0.27,16107100,0.003,0.003,0.0,892676000.0,149917000.0
21,2008-09-11,0.255,0.263,0.249,0.258,26674400,0.003,0.003,0.0,892676000.0,149917000.0
22,2008-09-12,0.255,0.257,0.24,0.255,30230000,0.003,0.003,0.0,892676000.0,149917000.0
23,2008-09-15,0.246,0.25,0.229,0.232,21599600,0.003,0.003,0.0,892676000.0,149917000.0
24,2008-09-16,0.224,0.242,0.22,0.24,31021000,0.003,0.003,0.0,892676000.0,149917000.0
25,2008-09-17,0.234,0.256,0.232,0.25,34814500,0.003,0.003,0.0,892676000.0,149917000.0
26,2008-09-18,0.253,0.286,0.252,0.272,40276500,0.003,0.003,0.0,892676000.0,149917000.0
27,2008-09-19,0.285,0.288,0.272,0.285,27683600,0.003,0.003,0.0,892676000.0,149917000.0
28,2008-09-22,0.283,0.291,0.278,0.279,17501800,0.003,0.003,0.0,892676000.0,149917000.0
29,2008-09-23,0.277,0.287,0.27,0.271,20536700,0.003,0.003,0.0,892676000.0,149917000.0
30,2008-09-24,0.268,0.287,0.266,0.281,21650900,0.003,0.003,0.0,892676000.0,149917000.0
31,2008-09-25,0.281,0.294,0.276,0.287,14708200,0.003,0.003,0.0,892676000.0,149917000.0
32,2008-09-26,0.28,0.294,0.274,0.292,16171300,0.003,0.003,0.0,892676000.0,149917000.0
33,2008-09-29,0.285,0.288,0.25,0.252,24381000,0.003,0.003,0.0,892676000.0,149917000.0
34,2008-09-30,0.256,0.27,0.254,0.268,16476100,0.003,0.003,0.0,892676000.0,149917000.0
35,2008-10-01,0.264,0.268,0.256,0.26,13930200,0.003,0.003,0.0,892676000.0,149917000.0
36,2008-10-02,0.262,0.262,0.232,0.233,19693200,0.003,0.003,0.0,892676000.0,149917000.0
37,2008-10-03,0.237,0.244,0.224,0.226,22895700,0.003,0.003,0.0,892676000.0,149917000.0
38,2008-10-06,0.215,0.215,0.183,0.196,41936000,0.003,0.003,0.0,892676000.0,149917000.0
39,2008-10-07,0.193,0.204,0.18,0.181,26499600,0.003,0.003,0.0,892676000.0,149917000.0
40,2008-10-08,0.175,0.196,0.173,0.185,30486400,0.003,0.003,0.0,892676000.0,149917000.0
41,2008-10-09,0.192,0.194,0.171,0.173,22740900,0.003,0.003,0.0,892676000.0,149917000.0
42,2008-10-10,0.158,0.183,0.157,0.17,30006300,0.003,0.003,0.0,892676000.0,149917000.0
43,2008-10-13,0.185,0.202,0.182,0.201,22913400,0.003,0.003,0.0,892676000.0,149917000.0
44,2008-10-14,0.209,0.21,0.191,0.197,30225300,0.003,0.003,0.0,892676000.0,149917000.0
45,2008-10-15,0.196,0.196,0.176,0.176,21351600,0.003,0.003,0.0,892676000.0,149917000.0
46,2008-10-16,0.183,0.194,0.173,0.192,25495500,0.003,0.003,0.0,892676000.0,149917000.0
47,2008-10-17,0.187,0.202,0.184,0.191,20985400,0.003,0.003,0.0,892676000.0,149917000.0
48,2008-10-20,0.198,0.199,0.19,0.195,14894100,0.003,0.003,0.0,892676000.0,149917000.0
49,2008-10-21,0.191,0.193,0.179,0.18,16477900,0.003,0.003,0.0,892676000.0,149917000.0
50,2008-10-22,0.178,0.185,0.168,0.173,15024900,0.003,0.003,0.0,892676000.0,149917000.0
51,2008-10-23,0.173,0.177,0.156,0.164,20804800,0.003,0.003,0.0,892676000.0,149917000.0
52,2008-10-24,0.15,0.174,0.149,0.165,19958400,0.003,0.003,0.0,892676000.0,149917000.0
53,2008-10-27,0.164,0.184,0.159,0.174,17473400,0.003,0.003,0.0,892676000.0,149917000.0
54,2008-10-28,0.184,0.201,0.18,0.2,21248000,0.003,0.003,0.0,892676000.0,149917000.0
55,2008-10-29,0.199,0.22,0.198,0.207,24432100,0.003,0.003,0.0,892676000.0,149917000.0
56,2008-10-30,0.219,0.22,0.202,0.216,16429400,0.003,0.003,0.0,892676000.0,149917000.0
57,2008-10-31,0.209,0.223,0.208,0.219,15216800,0.003,0.003,0.0,892676000.0,149917000.0
58,2008-11-03,0.224,0.228,0.208,0.211,18098100,0.003,0.003,0.0,892676000.0,149917000.0
59,2008-11-04,0.218,0.224,0.212,0.224,15489000,0.003,0.003,0.0,892676000.0,149917000.0
60,2008-11-05,0.216,0.222,0.213,0.213,19690500,0.003,0.003,0.0,892676000.0,149917000.0
61,2008-11-06,0.2,0.208,0.19,0.19,19948400,0.003,0.005,66.6667,897655000.0,367843000.0
62,2008-11-07,0.217,0.227,0.202,0.218,28301700,0.003,0.005,66.6667,897655000.0,367843000.0
63,2008-11-10,0.226,0.227,0.199,0.204,14409900,0.003,0.005,66.6667,897655000.0,367843000.0
64,2008-11-11,0.201,0.202,0.193,0.195,14412100,0.003,0.005,66.6667,897655000.0,367843000.0
65,2008-11-12,0.189,0.194,0.181,0.184,16152300,0.003,0.005,66.6667,897655000.0,367843000.0
66,2008-11-13,0.175,0.199,0.172,0.198,19930700,0.003,0.005,66.6667,897655000.0,367843000.0
67,2008-11-14,0.19,0.192,0.178,0.179,18525600,0.003,0.005,66.6667,897655000.0,367843000.0
68,2008-11-17,0.178,0.182,0.174,0.176,9705600,0.003,0.005,66.6667,897655000.0,367843000.0
69,2008-11-18,0.179,0.18,0.164,0.17,14112200,0.003,0.005,66.6667,897655000.0,367843000.0
70,2008-11-19,0.168,0.173,0.155,0.156,12505500,0.003,0.005,66.6667,897655000.0,367843000.0
71,2008-11-20,0.154,0.162,0.146,0.148,21175900,0.003,0.005,66.6667,897655000.0,367843000.0
72,2008-11-21,0.152,0.16,0.144,0.16,14976600,0.003,0.005,66.6667,897655000.0,367843000.0
73,2008-11-24,0.169,0.172,0.16,0.17,15007700,0.003,0.005,66.6667,897655000.0,367843000.0
74,2008-11-25,0.178,0.178,0.17,0.175,13206400,0.003,0.005,66.6667,897655000.0,367843000.0
75,2008-11-26,0.172,0.191,0.171,0.19,15019800,0.003,0.005,66.6667,897655000.0,367843000.0
76,2008-11-28,0.187,0.19,0.184,0.187,4381200,0.003,0.005,66.6667,897655000.0,367843000.0
77,2008-12-01,0.179,0.181,0.171,0.171,13677800,0.003,0.005,66.6667,897655000.0,367843000.0
78,2008-12-02,0.174,0.182,0.172,0.18,11999700,0.003,0.005,66.6667,897655000.0,367843000.0
79,2008-12-03,0.173,0.19,0.172,0.19,14615800,0.003,0.005,66.6667,897655000.0,367843000.0
80,2008-12-04,0.186,0.195,0.173,0.177,11657300,0.003,0.005,66.6667,897655000.0,367843000.0
81,2008-12-05,0.172,0.185,0.168,0.184,10962100,0.003,0.005,66.6667,897655000.0,367843000.0
82,2008-12-08,0.188,0.191,0.174,0.178,17699800,0.003,0.005,66.6667,897655000.0,367843000.0
83,2008-12-09,0.176,0.202,0.174,0.195,20744000,0.003,0.005,66.6667,897655000.0,367843000.0
84,2008-12-10,0.199,0.219,0.196,0.214,24028100,0.003,0.005,66.6667,897655000.0,367843000.0
85,2008-12-11,0.212,0.22,0.202,0.205,14567500,0.003,0.005,66.6667,897655000.0,367843000.0
86,2008-12-12,0.199,0.216,0.195,0.215,16981700,0.003,0.005,66.6667,897655000.0,367843000.0
87,2008-12-15,0.216,0.217,0.201,0.208,11924900,0.003,0.005,66.6667,897655000.0,367843000.0
88,2008-12-16,0.21,0.222,0.208,0.222,13048500,0.003,0.005,66.6667,897655000.0,367843000.0
89,2008-12-17,0.218,0.236,0.215,0.233,16854500,0.003,0.005,66.6667,897655000.0,367843000.0
90,2008-12-18,0.231,0.232,0.209,0.212,13770200,0.003,0.005,66.6667,897655000.0,367843000.0
91,2008-12-19,0.22,0.222,0.212,0.213,14828000,0.003,0.005,66.6667,897655000.0,367843000.0
92,2008-12-22,0.216,0.217,0.193,0.2,13061600,0.003,0.005,66.6667,897655000.0,367843000.0
93,2008-12-23,0.202,0.206,0.195,0.198,9436300,0.003,0.005,66.6667,897655000.0,367843000.0
94,2008-12-24,0.194,0.198,0.189,0.193,3665400,0.003,0.005,66.6667,897655000.0,367843000.0
95,2008-12-26,0.193,0.196,0.182,0.188,5653900,0.003,0.005,66.6667,897655000.0,367843000.0
96,2008-12-29,0.19,0.194,0.178,0.194,11504200,0.003,0.005,66.6667,897655000.0,367843000.0
97,2008-12-30,0.196,0.204,0.192,0.2,10246500,0.003,0.005,66.6667,897655000.0,367843000.0
98,2008-12-31,0.198,0.207,0.194,0.202,11039500,0.003,0.005,66.6667,897655000.0,367843000.0
99,2009-01-02,0.202,0.219,0.201,0.218,12428100,0.003,0.005,66.6667,897655000.0,367843000.0
100,2009-01-05,0.215,0.227,0.214,0.222,17643400,0.003,0.005,66.6667,897655000.0,367843000.0
101,2009-01-06,0.228,0.236,0.223,0.229,16447600,0.003,0.005,66.6667,897655000.0,367843000.0
102,2009-01-07,0.224,0.224,0.208,0.215,21752400,0.003,0.005,66.6667,897655000.0,367843000.0
103,2009-01-08,0.213,0.213,0.197,0.21,25362400,0.003,0.005,66.6667,897655000.0,367843000.0
104,2009-01-09,0.21,0.21,0.198,0.198,19033800,0.003,0.005,66.6667,897655000.0,367843000.0
105,2009-01-12,0.198,0.199,0.188,0.19,16138300,0.003,0.005,66.6667,897655000.0,367843000.0
106,2009-01-13,0.189,0.198,0.18,0.191,45610600,0.003,0.005,66.6667,897655000.0,367843000.0
107,2009-01-14,0.184,0.187,0.18,0.183,24372700,0.003,0.005,66.6667,897655000.0,367843000.0
108,2009-01-15,0.184,0.192,0.18,0.189,24955100,0.003,0.005,66.6667,897655000.0,367843000.0
109,2009-01-16,0.194,0.202,0.188,0.2,20783100,0.003,0.005,66.6667,897655000.0,367843000.0
110,2009-01-20,0.199,0.2,0.179,0.18,17644700,0.003,0.005,66.6667,897655000.0,367843000.0
111,2009-01-21,0.184,0.19,0.177,0.189,16211800,0.003,0.005,66.6667,897655000.0,367843000.0
112,2009-01-22,0.183,0.19,0.179,0.186,13691400,0.003,0.005,66.6667,897655000.0,367843000.0
113,2009-01-23,0.18,0.198,0.18,0.193,15840400,0.003,0.005,66.6667,897655000.0,367843000.0
114,2009-01-26,0.192,0.205,0.19,0.199,14543700,0.003,0.005,66.6667,897655000.0,367843000.0
115,2009-01-27,0.202,0.212,0.202,0.211,18132500,0.003,0.005,66.6667,897655000.0,367843000.0
116,2009-01-28,0.218,0.223,0.212,0.22,18093800,0.003,0.005,66.6667,897655000.0,367843000.0
117,2009-01-29,0.213,0.215,0.206,0.207,10328200,0.003,0.005,66.6667,897655000.0,367843000.0
118,2009-01-30,0.206,0.211,0.196,0.199,12669000,0.003,0.005,66.6667,897655000.0,367843000.0
119,2009-02-02,0.196,0.212,0.195,0.21,14449800,0.003,0.005,66.6667,897655000.0,367843000.0
120,2009-02-03,0.21,0.214,0.204,0.212,9923700,0.003,0.005,66.6667,897655000.0,367843000.0
121,2009-02-04,0.212,0.229,0.212,0.218,19480800,0.003,0.005,66.6667,897655000.0,367843000.0
122,2009-02-05,0.212,0.237,0.21,0.234,22979800,0.003,0.005,66.6667,897655000.0,367843000.0
123,2009-02-06,0.235,0.248,0.231,0.247,28947000,0.003,0.005,66.6667,897655000.0,367843000.0
124,2009-02-09,0.246,0.249,0.237,0.244,17903200,0.003,0.005,66.6667,897655000.0,367843000.0
125,2009-02-10,0.244,0.246,0.228,0.233,28241600,-0.002,-0.004,-100.0,481140000.0,141666000.0
126,2009-02-11,0.214,0.222,0.196,0.204,49585000,-0.002,-0.004,-100.0,481140000.0,141666000.0
127,2009-02-12,0.199,0.209,0.196,0.208,25600500,-0.002,-0.004,-100.0,481140000.0,141666000.0
128,2009-02-13,0.203,0.21,0.202,0.208,19107600,-0.002,-0.004,-100.0,481140000.0,141666000.0
129,2009-02-17,0.199,0.205,0.195,0.196,19489400,-0.002,-0.004,-100.0,481140000.0,141666000.0
130,2009-02-18,0.196,0.208,0.196,0.201,16156300,-0.002,-0.004,-100.0,481140000.0,141666000.0
131,2009-02-19,0.206,0.207,0.186,0.186,18599700,-0.002,-0.004,-100.0,481140000.0,141666000.0
132,2009-02-20,0.183,0.193,0.181,0.19,19251400,-0.002,-0.004,-100.0,481140000.0,141666000.0
133,2009-02-23,0.194,0.194,0.18,0.182,16988700,-0.002,-0.004,-100.0,481140000.0,141666000.0
134,2009-02-24,0.182,0.198,0.182,0.198,16488100,-0.002,-0.004,-100.0,481140000.0,141666000.0
135,2009-02-25,0.197,0.206,0.19,0.2,17559000,-0.002,-0.004,-100.0,481140000.0,141666000.0
136,2009-02-26,0.207,0.213,0.204,0.206,27938900,-0.002,-0.004,-100.0,481140000.0,141666000.0
137,2009-02-27,0.201,0.212,0.2,0.207,18886100,-0.002,-0.004,-100.0,481140000.0,141666000.0
138,2009-03-02,0.199,0.206,0.189,0.19,17501600,-0.002,-0.004,-100.0,481140000.0,141666000.0
139,2009-03-03,0.193,0.204,0.187,0.197,26034300,-0.002,-0.004,-100.0,481140000.0,141666000.0
140,2009-03-04,0.202,0.217,0.2,0.212,27716700,-0.002,-0.004,-100.0,481140000.0,141666000.0
141,2009-03-05,0.208,0.217,0.206,0.206,23881300,-0.002,-0.004,-100.0,481140000.0,141666000.0
142,2009-03-06,0.206,0.217,0.204,0.21,24368900,-0.002,-0.004,-100.0,481140000.0,141666000.0
143,2009-03-09,0.208,0.224,0.207,0.208,17069200,-0.002,-0.004,-100.0,481140000.0,141666000.0
144,2009-03-10,0.215,0.23,0.213,0.226,31370000,-0.002,-0.004,-100.0,481140000.0,141666000.0
145,2009-03-11,0.226,0.296,0.222,0.232,21622900,-0.002,-0.004,-100.0,481140000.0,141666000.0
146,2009-03-12,0.232,0.249,0.229,0.246,40115100,-0.002,-0.004,-100.0,481140000.0,141666000.0
147,2009-03-13,0.243,0.248,0.239,0.245,29878900,-0.002,-0.004,-100.0,481140000.0,141666000.0
148,2009-03-16,0.248,0.248,0.233,0.236,17483600,-0.002,-0.004,-100.0,481140000.0,141666000.0
149,2009-03-17,0.236,0.248,0.233,0.247,25134600,-0.002,-0.004,-100.0,481140000.0,141666000.0
150,2009-03-18,0.244,0.262,0.243,0.255,33989000,-0.002,-0.004,-100.0,481140000.0,141666000.0
151,2009-03-19,0.257,0.257,0.25,0.252,20566200,-0.002,-0.004,-100.0,481140000.0,141666000.0
152,2009-03-20,0.256,0.256,0.232,0.238,27341800,-0.002,-0.004,-100.0,481140000.0,141666000.0
153,2009-03-23,0.246,0.256,0.24,0.256,20401200,-0.002,-0.004,-100.0,481140000.0,141666000.0
154,2009-03-24,0.249,0.252,0.243,0.244,27871700,-0.002,-0.004,-100.0,481140000.0,141666000.0
155,2009-03-25,0.252,0.26,0.239,0.248,31096300,-0.002,-0.004,-100.0,481140000.0,141666000.0
156,2009-03-26,0.252,0.264,0.25,0.264,33341600,-0.002,-0.004,-100.0,481140000.0,141666000.0
157,2009-03-27,0.261,0.268,0.258,0.262,18297300,-0.002,-0.004,-100.0,481140000.0,141666000.0
158,2009-03-30,0.252,0.255,0.241,0.245,19501300,-0.002,-0.004,-100.0,481140000.0,141666000.0
159,2009-03-31,0.248,0.252,0.245,0.246,20131800,-0.002,-0.004,-100.0,481140000.0,141666000.0
160,2009-04-01,0.244,0.255,0.234,0.253,22198000,-0.002,-0.004,-100.0,481140000.0,141666000.0
161,2009-04-02,0.262,0.269,0.258,0.264,25071500,-0.002,-0.004,-100.0,481140000.0,141666000.0
162,2009-04-03,0.265,0.284,0.26,0.283,25080200,-0.002,-0.004,-100.0,481140000.0,141666000.0
163,2009-04-06,0.278,0.286,0.274,0.284,22182200,-0.002,-0.004,-100.0,481140000.0,141666000.0
164,2009-04-07,0.278,0.281,0.272,0.274,15195100,-0.002,-0.004,-100.0,481140000.0,141666000.0
165,2009-04-08,0.277,0.286,0.275,0.285,18291300,-0.002,-0.004,-100.0,481140000.0,141666000.0
166,2009-04-09,0.292,0.302,0.29,0.301,22610300,-0.002,-0.004,-100.0,481140000.0,141666000.0
167,2009-04-13,0.297,0.298,0.285,0.291,19190700,-0.002,-0.004,-100.0,481140000.0,141666000.0
168,2009-04-14,0.287,0.3,0.286,0.293,17799000,-0.002,-0.004,-100.0,481140000.0,141666000.0
169,2009-04-15,0.283,0.286,0.273,0.285,26134200,-0.002,-0.004,-100.0,481140000.0,141666000.0
170,2009-04-16,0.29,0.296,0.279,0.292,25969300,-0.002,-0.004,-100.0,481140000.0,141666000.0
171,2009-04-17,0.292,0.297,0.285,0.294,17394100,-0.002,-0.004,-100.0,481140000.0,141666000.0
172,2009-04-20,0.283,0.285,0.275,0.276,14766500,-0.002,-0.004,-100.0,481140000.0,141666000.0
173,2009-04-21,0.272,0.287,0.268,0.275,23304600,-0.002,-0.004,-100.0,481140000.0,141666000.0
174,2009-04-22,0.273,0.295,0.268,0.284,22910100,-0.002,-0.004,-100.0,481140000.0,141666000.0
175,2009-04-23,0.287,0.289,0.27,0.279,18848800,-0.002,-0.004,-100.0,481140000.0,141666000.0
176,2009-04-24,0.282,0.288,0.275,0.286,18987700,-0.002,-0.004,-100.0,481140000.0,141666000.0
177,2009-04-27,0.282,0.29,0.274,0.275,19675600,-0.002,-0.004,-100.0,481140000.0,141666000.0
178,2009-04-28,0.272,0.282,0.269,0.276,15859800,-0.002,-0.004,-100.0,481140000.0,141666000.0
179,2009-04-29,0.277,0.279,0.269,0.272,21491700,-0.002,-0.004,-100.0,481140000.0,141666000.0
180,2009-04-30,0.277,0.295,0.275,0.287,27756900,-0.002,-0.004,-100.0,481140000.0,141666000.0
181,2009-05-01,0.286,0.298,0.286,0.292,21013700,-0.002,-0.004,-100.0,481140000.0,141666000.0
182,2009-05-04,0.297,0.31,0.293,0.308,23192600,-0.002,-0.004,-100.0,481140000.0,141666000.0
