date,totalRevenue,grossProfit,symbol
2024-06-30,85777000000,39678000000,AAPL
2024-03-31,90753000000,42271000000,AAPL
2023-12-31,119575000000,54855000000,AAPL
2023-09-30,88496000000,40427000000,AAPL
2023-06-30,80799000000,36413000000,AAPL
2023-03-31,94836000000,41976000000,AAPL
2022-12-31,116151000000,50332000000,AAPL
2022-09-30,89319000000,38095000000,AAPL
2022-06-30,82240000000,35885000000,AAPL
2022-03-31,96587000000,42559000000,AAPL
2021-12-31,123251000000,54243000000,AAPL
2021-09-30,82688000000,35174000000,AAPL
2021-06-30,80769000000,35255000000,AAPL
2021-03-31,88914000000,38079000000,AAPL
2020-12-31,110801000000,44328000000,AAPL
2020-09-30,64698000000,24689000000,AAPL
2020-06-30,58988000000,22680000000,AAPL
2020-03-31,57556000000,22370000000,AAPL
2019-12-31,91034000000,35217000000,AAPL
2019-09-30,64040000000,24313000000,AAPL
2019-06-30,52943000000,20227000000,AAPL
2019-03-31,57005000000,21821000000,AAPL
2018-12-31,83420000000,32031000000,AAPL
2018-09-30,62900000000,24084000000,AAPL
2018-06-30,53265000000,20421000000,AAPL
2018-03-31,61137000000,23422000000,AAPL
2017-12-31,88293000000,33912000000,AAPL
2017-09-30,52579000000,19931000000,AAPL
2017-06-30,45408000000,17488000000,AAPL
2017-03-31,52896000000,20591000000,AAPL
2016-12-31,78351000000,30176000000,AAPL
2016-09-30,47858000000,17813000000,AAPL
2016-06-30,41949000000,16106000000,AAPL
2016-03-31,50236000000,19921000000,AAPL
2015-12-31,75596000000,30423000000,AAPL
2015-09-30,51501000000,20548000000,AAPL
2015-06-30,49404000000,19681000000,AAPL
2015-03-31,57847000000,23656000000,AAPL
2014-12-31,74468000000,29741000000,AAPL
2014-09-30,42123000000,16009000000,AAPL
2014-06-30,37332000000,14735000000,AAPL
2014-03-31,45561000000,17947000000,AAPL
2013-12-31,57510000000,21846000000,AAPL
2013-09-30,37472000000,13871000000,AAPL
2013-06-30,35270000000,13024000000,AAPL
2013-03-31,43603000000,16349000000,AAPL
2012-12-31,54512000000,21060000000,AAPL
2012-09-30,35966000000,14401000000,AAPL
2012-06-30,35023000000,14994000000,AAPL
2012-03-31,39186000000,18564000000,AAPL
2011-12-31,46333000000,20703000000,AAPL
2011-09-30,28270000000,11380000000,AAPL
2011-06-30,28571000000,11922000000,AAPL
2011-03-31,24708000000,10218000000,AAPL
2010-12-31,26741000000,10298000000,AAPL
2010-09-30,20343000000,7512000000,AAPL
2010-06-30,15700000000,6136000000,AAPL
2010-03-31,13499000000,5625000000,AAPL
2009-12-31,15683000000,6411000000,AAPL
2009-09-30,12207000000,5105000000,AAPL
2009-06-30,None,3983000000,AAPL
2009-03-31,None,3627000000,AAPL
2008-12-31,None,4507000000,AAPL
2008-09-30,None,4791000000,AAPL
2008-06-30,None,2600000000,AAPL
