date,totalRevenue,grossProfit,symbol
2024-07-28,30040000000,22574000000,NVDA
2024-04-28,26044000000,20406000000,NVDA
2024-01-28,22103000000,16791000000,NVDA
2023-10-29,18120000000,13400000000,NVDA
2023-07-30,13507000000,9462000000,NVDA
2023-04-30,7192000000,4648000000,NVDA
2023-01-29,6051000000,3833000000,NVDA
2022-10-30,5931000000,3177000000,NVDA
2022-07-31,6704000000,2915000000,NVDA
2022-05-01,8288000000,5431000000,NVDA
2022-01-30,7643000000,4999000000,NVDA
2021-10-31,7103000000,4631000000,NVDA
2021-08-01,6507000000,4215000000,NVDA
2021-05-02,5661000000,3629000000,NVDA
2021-01-31,5003000000,3156000000,NVDA
2020-10-25,4726000000,2960000000,NVDA
2020-07-26,3866000000,2275000000,NVDA
2020-04-26,3080000000,2004000000,NVDA
2020-01-26,3105000000,2015000000,NVDA
2019-10-27,3014000000,1916000000,NVDA
2019-07-28,2579000000,1541000000,NVDA
2019-04-28,2220000000,1296000000,NVDA
2019-01-27,2205000000,1207000000,NVDA
2018-10-28,3181000000,1921000000,NVDA
2018-07-29,3123000000,1975000000,NVDA
2018-04-29,3207000000,2068000000,NVDA
2018-01-28,2911000000,1801000000,NVDA
2017-10-29,2636000000,1569000000,NVDA
2017-07-30,2230000000,1302000000,NVDA
2017-04-30,1937000000,1150000000,NVDA
2017-01-29,2173000000,1303000000,NVDA
2016-10-30,2004000000,1183000000,NVDA
2016-07-31,1428000000,826000000,NVDA
2016-05-01,1305000000,751000000,NVDA
2016-01-31,1401000000,791000000,NVDA
2015-10-25,1305000000,733000000,NVDA
2015-07-26,1153000000,634000000,NVDA
2015-04-26,1151000000,653000000,NVDA
2015-01-25,1251000000,699000000,NVDA
2014-10-26,1225000000,677000000,NVDA
2014-07-27,1103000000,619000000,NVDA
2014-04-27,1103000000,604000000,NVDA
2014-01-26,1144218000,619242000,NVDA
2013-10-27,1053967000,584415000,NVDA
2013-07-28,977238000,545538000,NVDA
2013-04-28,954739000,518568000,NVDA
2013-01-27,1106902000,585602000,NVDA
2012-10-28,1204110000,636658000,NVDA
2012-07-29,1044270000,540719000,NVDA
2012-04-29,924877000,463364000,NVDA
2012-01-29,953194000,490013000,NVDA
2011-10-30,1066180000,556717000,NVDA
2011-07-31,1016517000,525284000,NVDA
2011-05-01,962039000,484503000,NVDA
2011-01-30,886376000,426359000,NVDA
2010-10-31,843912000,392062000,NVDA
2010-08-01,811208000,134292000,NVDA
2010-05-02,1001813000,456377000,NVDA
2010-01-31,982488000,438721000,NVDA
2009-10-25,903206000,391783000,NVDA
2009-07-26,776520000,156723000,NVDA
2009-04-26,664231000,189696000,NVDA
2009-01-25,481140000,141666000,NVDA
2008-10-26,897655000,367843000,NVDA
2008-07-27,892676000,149917000,NVDA
